trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.55, 'e': 0.95}",30,16,-56.52062278903214,"{0: 10, 1: 0, 2: 3, 3: 0, 4: 1}",1
2,False,"{'a': 0.55, 'e': 0.8999999999999999}",25,0,-80.71466758790041,"{0: 16, 1: 4, 2: 4, 3: 0, 4: 1}",0
3,False,"{'a': 0.55, 'e': 0.8499999999999999}",25,0,-58.48704991193657,"{0: 16, 1: 3, 2: 6, 3: 0, 4: 0}",0
4,False,"{'a': 0.55, 'e': 0.7999999999999998}",35,0,-103.80466344791462,"{0: 24, 1: 3, 2: 6, 3: 1, 4: 1}",0
5,False,"{'a': 0.55, 'e': 0.7499999999999998}",25,0,-117.25352037706084,"{0: 14, 1: 1, 2: 9, 3: 0, 4: 1}",0
6,False,"{'a': 0.55, 'e': 0.6999999999999997}",20,0,-33.07477892015495,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
7,False,"{'a': 0.55, 'e': 0.6499999999999997}",25,0,-20.871540859863618,"{0: 22, 1: 0, 2: 1, 3: 2, 4: 0}",0
8,False,"{'a': 0.55, 'e': 0.5999999999999996}",20,0,-103.03120111347016,"{0: 9, 1: 3, 2: 6, 3: 2, 4: 0}",0
9,False,"{'a': 0.55, 'e': 0.5499999999999996}",25,0,-112.35160890756268,"{0: 16, 1: 1, 2: 5, 3: 2, 4: 1}",0
10,False,"{'a': 0.55, 'e': 0.4999999999999996}",25,0,-133.97851020683459,"{0: 16, 1: 0, 2: 6, 3: 1, 4: 2}",0
11,False,"{'a': 0.55, 'e': 0.4499999999999996}",20,0,-58.98151141658688,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
12,False,"{'a': 0.55, 'e': 0.39999999999999963}",20,0,3.621631144254357,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
13,False,"{'a': 0.55, 'e': 0.34999999999999964}",25,0,-57.33726328119514,"{0: 19, 1: 0, 2: 4, 3: 2, 4: 0}",0
14,False,"{'a': 0.55, 'e': 0.29999999999999966}",35,0,-100.60768748364666,"{0: 27, 1: 1, 2: 5, 3: 0, 4: 2}",0
15,False,"{'a': 0.55, 'e': 0.24999999999999967}",30,0,-97.31748403945342,"{0: 24, 1: 2, 2: 0, 3: 2, 4: 2}",0
16,False,"{'a': 0.55, 'e': 0.19999999999999968}",25,0,-27.075549123127807,"{0: 22, 1: 1, 2: 1, 3: 0, 4: 1}",0
17,False,"{'a': 0.55, 'e': 0.1499999999999997}",20,0,27.56053627047999,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
18,False,"{'a': 0.55, 'e': 0.09999999999999969}",30,17,19.239587367322244,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
19,False,"{'a': 0.55, 'e': 0.049999999999999684}",30,0,-56.7235871803138,"{0: 26, 1: 1, 2: 1, 3: 0, 4: 2}",0
20,False,"{'a': 0.55, 'e': -3.191891195797325e-16}",20,10,14.732337285661501,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",20,9,-19.689510809688645,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 1}",1
2,True,"{'a': 0, 'e': 0}",20,9,18.93844069240451,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",20,12,-28.091793588178305,"{0: 6, 1: 0, 2: 0, 3: 2, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",20,0,30.76411926273529,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
5,True,"{'a': 0, 'e': 0}",25,7,-31.803684476022646,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 1}",1
6,True,"{'a': 0, 'e': 0}",25,14,-23.770224504208144,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 1}",1
7,True,"{'a': 0, 'e': 0}",20,9,16.482714982047913,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",30,0,-25.386558952099875,"{0: 28, 1: 0, 2: 0, 3: 1, 4: 1}",1
9,True,"{'a': 0, 'e': 0}",30,0,-33.38487087072703,"{0: 27, 1: 0, 2: 1, 3: 1, 4: 1}",0
10,True,"{'a': 0, 'e': 0}",30,4,-18.085109100532684,"{0: 23, 1: 1, 2: 1, 3: 0, 4: 1}",1
