trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.9, 'e': 0.9999980000006666}",20,0,-106.26916918383614,"{0: 12, 1: 0, 2: 6, 3: 1, 4: 1}",0
2,False,"{'a': 0.9, 'e': 0.9999920000106667}",30,0,-359.53086344610193,"{0: 14, 1: 0, 2: 8, 3: 1, 4: 7}",0
3,False,"{'a': 0.9, 'e': 0.999982000054}",20,0,-219.77286232347515,"{0: 10, 1: 0, 2: 5, 3: 1, 4: 4}",0
4,False,"{'a': 0.9, 'e': 0.9999680001706663}",20,6,-51.316577836107925,"{0: 8, 1: 0, 2: 6, 3: 0, 4: 0}",1
5,False,"{'a': 0.9, 'e': 0.9999500004166653}",25,0,-93.83382638947148,"{0: 15, 1: 0, 2: 9, 3: 1, 4: 0}",0
6,False,"{'a': 0.9, 'e': 0.9999280008639958}",25,0,-39.50780929110562,"{0: 20, 1: 0, 2: 4, 3: 1, 4: 0}",0
7,False,"{'a': 0.9, 'e': 0.9999020016006562}",30,0,-155.3473011959633,"{0: 22, 1: 0, 2: 4, 3: 1, 4: 3}",0
8,False,"{'a': 0.9, 'e': 0.9998720027306434}",20,0,-76.65044034464768,"{0: 15, 1: 0, 2: 3, 3: 1, 4: 1}",0
9,False,"{'a': 0.9, 'e': 0.9998380043739528}",25,0,-247.57194577702566,"{0: 12, 1: 0, 2: 8, 3: 1, 4: 4}",0
10,False,"{'a': 0.9, 'e': 0.9998000066665778}",20,0,-127.37888507857713,"{0: 10, 1: 0, 2: 8, 3: 1, 4: 1}",0
11,False,"{'a': 0.9, 'e': 0.9997580097605092}",30,2,-286.2417045015589,"{0: 12, 1: 0, 2: 10, 3: 2, 4: 4}",1
12,False,"{'a': 0.9, 'e': 0.9997120138237345}",20,0,-178.09785118107288,"{0: 9, 1: 0, 2: 7, 3: 2, 4: 2}",0
13,False,"{'a': 0.9, 'e': 0.9996620190402377}",25,0,-167.89490492149312,"{0: 16, 1: 0, 2: 6, 3: 0, 4: 3}",0
14,False,"{'a': 0.9, 'e': 0.9996080256099974}",20,0,-122.82613476889945,"{0: 12, 1: 0, 2: 5, 3: 2, 4: 1}",0
15,False,"{'a': 0.9, 'e': 0.9995500337489875}",20,0,-139.12184066405976,"{0: 11, 1: 0, 2: 7, 3: 0, 4: 2}",0
16,False,"{'a': 0.9, 'e': 0.9994880436891754}",25,16,-8.181636891416236,"{0: 7, 1: 0, 2: 2, 3: 0, 4: 0}",1
17,False,"{'a': 0.9, 'e': 0.9994220556785212}",20,0,-188.6907816826742,"{0: 10, 1: 0, 2: 6, 3: 1, 4: 3}",0
18,False,"{'a': 0.9, 'e': 0.9993520699809768}",20,0,-128.19698806429577,"{0: 9, 1: 0, 2: 10, 3: 0, 4: 1}",0
19,False,"{'a': 0.9, 'e': 0.9992780868764849}",20,0,-53.95497404299854,"{0: 13, 1: 0, 2: 7, 3: 0, 4: 0}",0
20,False,"{'a': 0.9, 'e': 0.9992001066609779}",20,0,-146.9016397728413,"{0: 13, 1: 0, 2: 4, 3: 0, 4: 3}",0
21,False,"{'a': 0.9, 'e': 0.9991181296463766}",20,0,-130.0151961430822,"{0: 12, 1: 0, 2: 6, 3: 0, 4: 2}",0
22,False,"{'a': 0.9, 'e': 0.9990321561605888}",20,0,-157.8083073720822,"{0: 13, 1: 0, 2: 3, 3: 1, 4: 3}",0
23,False,"{'a': 0.9, 'e': 0.9989421865475084}",25,0,-152.84519889215372,"{0: 16, 1: 0, 2: 5, 3: 2, 4: 2}",0
24,False,"{'a': 0.9, 'e': 0.9988482211670138}",20,0,-130.56508950102747,"{0: 10, 1: 0, 2: 6, 3: 4, 4: 0}",0
25,False,"{'a': 0.9, 'e': 0.9987502603949663}",30,0,-247.39920537507138,"{0: 19, 1: 0, 2: 5, 3: 1, 4: 5}",0
26,False,"{'a': 0.9, 'e': 0.9986483046232089}",25,0,-162.41343446244295,"{0: 15, 1: 0, 2: 6, 3: 2, 4: 2}",0
27,False,"{'a': 0.9, 'e': 0.9985423542595644}",25,5,-93.92612594178276,"{0: 13, 1: 0, 2: 5, 3: 1, 4: 1}",1
28,False,"{'a': 0.9, 'e': 0.9984324097278344}",30,0,-180.80066664845816,"{0: 18, 1: 0, 2: 8, 3: 2, 4: 2}",0
29,False,"{'a': 0.9, 'e': 0.9983184714677966}",25,0,-46.868790569190864,"{0: 19, 1: 0, 2: 5, 3: 1, 4: 0}",0
30,False,"{'a': 0.9, 'e': 0.9982005399352042}",25,0,-131.78164581087083,"{0: 14, 1: 0, 2: 10, 3: 0, 4: 1}",0
31,False,"{'a': 0.9, 'e': 0.9980786156017829}",20,0,-100.27728596390511,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 2}",0
32,False,"{'a': 0.9, 'e': 0.99795269895523}",30,0,-148.2092480001771,"{0: 23, 1: 0, 2: 3, 3: 1, 4: 3}",0
33,False,"{'a': 0.9, 'e': 0.9978227904992117}",25,0,-136.87677234368508,"{0: 14, 1: 0, 2: 9, 3: 1, 4: 1}",0
34,False,"{'a': 0.9, 'e': 0.9976888907533621}",25,0,-165.4639784037315,"{0: 14, 1: 0, 2: 8, 3: 1, 4: 2}",0
35,False,"{'a': 0.9, 'e': 0.9975510002532796}",20,0,-204.47518987039984,"{0: 8, 1: 0, 2: 7, 3: 3, 4: 2}",0
36,False,"{'a': 0.9, 'e': 0.9974091195505261}",25,0,-71.38799582862268,"{0: 17, 1: 0, 2: 7, 3: 1, 4: 0}",0
37,False,"{'a': 0.9, 'e': 0.9972632492126244}",25,0,-98.59126511574947,"{0: 19, 1: 0, 2: 2, 3: 3, 4: 1}",0
38,False,"{'a': 0.9, 'e': 0.9971133898230555}",20,0,-157.2141275512126,"{0: 12, 1: 0, 2: 5, 3: 0, 4: 3}",0
39,False,"{'a': 0.9, 'e': 0.9969595419812568}",30,0,-241.1253349013477,"{0: 15, 1: 0, 2: 10, 3: 2, 4: 3}",0
