trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,0,-144.27779032595396,"{0: 13, 1: 0, 2: 10, 3: 1, 4: 1}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-168.6570098528372,"{0: 10, 1: 3, 2: 3, 3: 1, 4: 3}",0
3,False,"{'a': 0.5, 'e': 1.0}",30,0,-68.84460143416769,"{0: 21, 1: 1, 2: 7, 3: 1, 4: 0}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,0,-128.11479023351725,"{0: 12, 1: 1, 2: 4, 3: 1, 4: 2}",0
5,False,"{'a': 0.5, 'e': 1.0}",30,0,-103.50477698294128,"{0: 17, 1: 5, 2: 6, 3: 2, 4: 0}",0
6,False,"{'a': 0.5, 'e': 1.0}",25,0,-66.55791309829443,"{0: 18, 1: 1, 2: 4, 3: 2, 4: 0}",0
7,False,"{'a': 0.5, 'e': 1.0}",25,0,-179.2727271434331,"{0: 9, 1: 6, 2: 6, 3: 3, 4: 1}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,0,-129.3399154921217,"{0: 10, 1: 1, 2: 7, 3: 1, 4: 1}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,0,-102.62690363126401,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,0,-139.37192960216547,"{0: 9, 1: 5, 2: 3, 3: 1, 4: 2}",0
11,False,"{'a': 0.5, 'e': 1.0}",25,0,-84.04992909869578,"{0: 16, 1: 4, 2: 2, 3: 3, 4: 0}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,0,-27.575772807687464,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
13,False,"{'a': 0.5, 'e': 1.0}",25,0,-146.89470711274538,"{0: 12, 1: 2, 2: 9, 3: 1, 4: 1}",0
14,False,"{'a': 0.5, 'e': 1.0}",25,0,-44.936113258930064,"{0: 18, 1: 1, 2: 6, 3: 0, 4: 0}",0
15,False,"{'a': 0.5, 'e': 1.0}",30,0,-220.76527374657007,"{0: 14, 1: 6, 2: 6, 3: 1, 4: 3}",0
16,False,"{'a': 0.5, 'e': 1.0}",25,0,-99.49856909690102,"{0: 17, 1: 1, 2: 4, 3: 2, 4: 1}",0
17,False,"{'a': 0.5, 'e': 1.0}",35,0,-263.05200259574536,"{0: 22, 1: 2, 2: 4, 3: 2, 4: 5}",0
18,False,"{'a': 0.5, 'e': 1.0}",20,0,-128.48613383126633,"{0: 12, 1: 2, 2: 3, 3: 1, 4: 2}",0
19,False,"{'a': 0.5, 'e': 1.0}",25,0,-109.25552596471992,"{0: 13, 1: 1, 2: 10, 3: 1, 4: 0}",0
20,False,"{'a': 0.5, 'e': 1.0}",30,0,-103.58867083501373,"{0: 22, 1: 1, 2: 4, 3: 2, 4: 1}",0
1,True,"{'a': 0, 'e': 0}",20,2,-108.14921809567632,"{0: 8, 1: 3, 2: 5, 3: 1, 4: 1}",1
2,True,"{'a': 0, 'e': 0}",20,0,-47.30505297743528,"{0: 14, 1: 1, 2: 4, 3: 1, 4: 0}",0
3,True,"{'a': 0, 'e': 0}",20,0,-127.17260766628023,"{0: 12, 1: 1, 2: 4, 3: 1, 4: 2}",0
4,True,"{'a': 0, 'e': 0}",20,0,-95.66246432874289,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 1}",0
5,True,"{'a': 0, 'e': 0}",20,0,-177.6960539730782,"{0: 9, 1: 2, 2: 6, 3: 0, 4: 3}",0
6,True,"{'a': 0, 'e': 0}",35,0,-196.17290482788113,"{0: 19, 1: 8, 2: 4, 3: 1, 4: 3}",0
7,True,"{'a': 0, 'e': 0}",20,0,-130.23884556385514,"{0: 11, 1: 1, 2: 4, 3: 3, 4: 1}",0
8,True,"{'a': 0, 'e': 0}",20,0,-171.42657432584215,"{0: 8, 1: 2, 2: 5, 3: 4, 4: 1}",0
9,True,"{'a': 0, 'e': 0}",25,2,-90.01276327696495,"{0: 16, 1: 0, 2: 3, 3: 4, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",25,0,-113.03526199825878,"{0: 15, 1: 2, 2: 6, 3: 1, 4: 1}",0
